pair_id,imageA,imageB,dimension
205,sampled_images/11377_108.843_34.2431_90_0.png,sampled_images/93620_108.977_34.3796_90_0.png,Greenery
206,sampled_images/21542_108.977_34.3675_90_0.png,sampled_images/34983_108.867_34.1954_90_0.png,Greenery
207,sampled_images/106225_108.9_34.1885_90_0.png,sampled_images/109720_108.894_34.2904_90_0.png,Greenery
208,sampled_images/106074_108.934_34.1778_90_0.png,sampled_images/107290_109.065_34.287_90_0.png,Greenery
209,sampled_images/103422_108.944_34.1891_90_0.png,sampled_images/78236_108.89_34.1994_90_0.png,Greenery
210,sampled_images/106384_108.944_34.3569_90_0.png,sampled_images/24506_108.959_34.2552_90_0.png,Greenery
211,sampled_images/41054_109.06_34.292_90_0.png,sampled_images/62396_108.945_34.1741_90_0.png,Greenery
212,sampled_images/22906_108.812_34.1648_90_0.png,sampled_images/24993_108.991_34.1716_90_0.png,Greenery
213,sampled_images/45737_108.883_34.2476_90_0.png,sampled_images/5445_109.044_34.2944_90_0.png,Greenery
214,sampled_images/103723_108.935_34.2524_90_0.png,sampled_images/88851_109.049_34.2245_90_0.png,Greenery
215,sampled_images/105684_108.922_34.2329_90_0.png,sampled_images/93915_109.055_34.2785_90_0.png,Greenery
216,sampled_images/12207_108.903_34.1863_90_0.png,sampled_images/34242_108.872_34.2134_90_0.png,Greenery
217,sampled_images/22651_108.915_34.1854_90_0.png,sampled_images/34862_108.909_34.2242_90_0.png,Greenery
218,sampled_images/109720_108.894_34.2904_90_0.png,sampled_images/90354_108.931_34.3859_90_0.png,Greenery
219,sampled_images/21070_109.006_34.3156_90_0.png,sampled_images/28982_108.844_34.2271_90_0.png,Greenery
220,sampled_images/26419_108.991_34.1789_90_0.png,sampled_images/81973_109.042_34.3144_90_0.png,Greenery
221,sampled_images/102236_108.865_34.2541_90_0.png,sampled_images/27058_108.886_34.2879_90_0.png,Greenery
222,sampled_images/262_108.939_34.2608_0_0.png,sampled_images/31456_109.003_34.2442_90_0.png,Greenery
223,sampled_images/78236_108.89_34.1994_90_0.png,sampled_images/8152_109.059_34.2691_90_0.png,Greenery
224,sampled_images/103745_108.942_34.259_90_0.png,sampled_images/80236_109.042_34.3184_90_0.png,Greenery
225,sampled_images/103422_108.944_34.1891_90_0.png,sampled_images/11936_108.942_34.268_90_0.png,Greenery
226,sampled_images/101916_108.942_34.3218_90_0.png,sampled_images/29939_108.998_34.3555_90_0.png,Greenery
227,sampled_images/104568_108.967_34.2978_90_0.png,sampled_images/26199_109.001_34.1961_90_0.png,Greenery
228,sampled_images/106225_108.9_34.1885_90_0.png,sampled_images/23093_108.865_34.2049_90_0.png,Greenery
229,sampled_images/102236_108.865_34.2541_90_0.png,sampled_images/93915_109.055_34.2785_90_0.png,Greenery
230,sampled_images/105934_108.848_34.1955_90_0.png,sampled_images/24256_108.836_34.1486_90_0.png,Greenery
231,sampled_images/53026_109.09_34.2961_90_0.png,sampled_images/90354_108.931_34.3859_90_0.png,Greenery
232,sampled_images/21830_108.984_34.2523_90_0.png,sampled_images/259_108.936_34.2608_90_0.png,Greenery
233,sampled_images/23993_108.868_34.1294_90_0.png,sampled_images/62839_109.045_34.3281_90_0.png,Greenery
234,sampled_images/103730_108.941_34.2512_90_0.png,sampled_images/5453_109.044_34.3003_90_0.png,Greenery
235,sampled_images/106074_108.934_34.1778_90_0.png,sampled_images/96814_109.058_34.2483_90_0.png,Greenery
236,sampled_images/103956_108.91_34.2384_90_0.png,sampled_images/21372_109.029_34.2931_90_0.png,Greenery
237,sampled_images/74783_109.045_34.2309_90_0.png,sampled_images/81973_109.042_34.3144_90_0.png,Greenery
238,sampled_images/104568_108.967_34.2978_90_0.png,sampled_images/18973_108.895_34.288_90_0.png,Greenery
239,sampled_images/25428_108.929_34.2428_90_0.png,sampled_images/60624_108.851_34.2001_90_0.png,Greenery
240,sampled_images/16632_108.93_34.1404_90_0.png,sampled_images/41054_109.06_34.292_90_0.png,Greenery
241,sampled_images/103748_108.943_34.2611_90_0.png,sampled_images/27307_108.996_34.2369_90_0.png,Greenery
242,sampled_images/69512_108.989_34.3635_90_0.png,sampled_images/89483_108.962_34.3898_90_0.png,Greenery
243,sampled_images/21771_108.956_34.1609_90_0.png,sampled_images/57172_108.908_34.1721_90_0.png,Greenery
244,sampled_images/109595_108.944_34.3127_90_0.png,sampled_images/11377_108.843_34.2431_90_0.png,Greenery
245,sampled_images/109757_108.879_34.1264_90_0.png,sampled_images/16632_108.93_34.1404_90_0.png,Greenery
246,sampled_images/109720_108.894_34.2904_90_0.png,sampled_images/261_108.938_34.2608_90_0.png,Greenery
247,sampled_images/57609_108.984_34.2852_90_0.png,sampled_images/81973_109.042_34.3144_90_0.png,Greenery
248,sampled_images/16632_108.93_34.1404_90_0.png,sampled_images/24993_108.991_34.1716_90_0.png,Greenery
249,sampled_images/102236_108.865_34.2541_90_0.png,sampled_images/7216_109.085_34.2975_90_0.png,Greenery
250,sampled_images/24993_108.991_34.1716_90_0.png,sampled_images/41444_108.85_34.3774_90_0.png,Greenery
251,sampled_images/23112_108.989_34.2487_90_0.png,sampled_images/53792_109.01_34.2707_90_0.png,Greenery
252,sampled_images/103585_108.858_34.1888_90_0.png,sampled_images/77074_108.848_34.3469_90_0.png,Greenery
253,sampled_images/106225_108.9_34.1885_90_0.png,sampled_images/45737_108.883_34.2476_90_0.png,Greenery
